S	SGEHEAPRUNMARKER	20	game
S	_DMA_CONFIGURATION_BYTE0	1	misc
F	0	1	Channel
F	0	1	Reserved
F	0	1	Shared
F	0	1	MoreEntries
S	IDirectXFileEnumObjectVtbl	24	misc
S	_ACCESS_ALLOWED_ACE	12	misc
F	0	4	Header
F	4	4	Mask
F	8	4	SidStart
S	_HAL_SHUTDOWN_REGISTRATION	16	misc
F	4	4	Priority
F	8	8	ListEntry
S	IDirectXFile	4	misc
F	0	4	lpVtbl
S	RTL_ACE_DATA	12	misc
F	0	1	AceType
F	1	1	InheritFlags
F	2	1	AceFlags
F	3	1	__align0
F	4	4	Mask
F	8	4	Sid
S	__unnamed_451	4	misc
F	0	4	ForwarderString
F	0	4	Function
F	0	4	Ordinal
F	0	4	AddressOfData
S	_LDR_DATA_TABLE_ENTRY	72	misc
F	0	8	InLoadOrderLinks
F	8	8	InMemoryOrderLinks
F	16	8	InInitializationOrderLinks
F	24	4	DllBase
F	28	4	EntryPoint
F	32	4	SizeOfImage
F	36	8	FullDllName
F	44	8	BaseDllName
F	52	4	Flags
F	56	2	LoadCount
F	58	2	TlsIndex
F	60	8	HashLinks
F	60	4	SectionPointer
F	64	4	CheckSum
F	68	4	TimeDateStamp
F	68	4	LoadedImports
S	IDirectXFileEnumObject	4	misc
F	0	4	lpVtbl
S	_LPC_CLIENT_DIED_MSG	32	misc
F	0	24	PortMsg
F	24	8	CreateTime
S	WSAData	400	misc
F	0	2	wVersion
F	2	2	wHighVersion
F	4	257	szDescription
F	261	129	szSystemStatus
F	390	2	iMaxSockets
F	392	2	iMaxUdpDg
F	394	2	__align0
F	396	4	lpVendorInfo
S	PROCESSOR_IDLE_HANDLER_INFO	8	misc
F	0	4	HardwareLatency
S	__unnamed_467	8	misc
F	0	4	TranslatedAddress
F	4	4	Length
S	__unnamed_468	8	misc
F	0	8	Port
F	0	8	Memory
S	_PCI_DEVICE_ADDRESS	12	misc
F	0	1	Type
F	1	1	Valid
F	2	2	Reserved
F	4	8	u
S	HWINEVENTHOOK__	4	misc
F	0	4	unused
S	_DBGKD_CONTROL_SET	16	misc
F	0	4	TraceFlag
F	4	4	Dr7
